-- Cursando
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0052', 'M1004', '2023-2', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0052', 'M1014', '2023-2', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0052', 'M1002', '2023-2', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0048', 'M1003', '2023-2', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0048', 'M1008', '2023-2', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0048', 'M1015', '2023-2', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0039', 'M1002', '2023-1', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0039', 'M1004', '2023-1', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0039', 'M1005', '2023-1', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0029', 'M1004', '2023-1', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0029', 'M1014', '2023-1', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0029', 'M1002', '2023-1', 2023, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0068', 'M1012', '2024-1', 2024, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0068', 'M1002', '2024-1', 2024, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0068', 'M1013', '2024-1', 2024, 8.0, 'Aprovado');
INSERT INTO Cursando (RA, materia_id, Semestre, Ano, Nota, status) VALUES ('A0085', 'M1009', '2024-1', 2024, 8.0, 'Aprovado');
